,user_name,total_star,durability_star,price_star,design_star,delivery_star,date,review,help
0,jiniiz,5.0,5.0,5.0,5.0,5.0,2020.05.04,강아지가 더 좋아해요 안내려와요 잠도 저기서자요 저도 앉아보고싶어요,268
1,사무직노동자인형,5.0,5.0,5.0,5.0,5.0,2021.01.12,너무 편하네요 앉아서 리뷰 쓰고 있는데 바로 잠에 들어 버,138
2,이쀼숙이,5.0,null,null,null,null,2021.03.23,"저는 성남서살다가 얼마전에 이사와서 시골에 살고 있읍니다 그런데 시골집구조가위낙에 좁고투박한 구조라서 항상 침대에서 티비를보거나 딱딱한 식탁의자에앉아서 쉬거나 좋아하는 영상을보고했어요, 근데 둘째딸이 오늘에집 이라는 앱을 깔아주면서 엄마심심할땐 여기를 구경해보라고 하드라고요 그래서 구경 구경하다가 의자가 눈에 확~! 들어왔어요 ㅋ 근데 정말 다른말이 필요 없어요, 제나이 70 인데 퇴근후 여기서 티비도보고 휴대폰도보며 덕질할때 그편안함과 아늑함은 또다른 신세계랍니다 ㅎ 혹시라도 구입의사가 조금이라도 있으시다면 주저하지 않으셔도 될거같아서요 ~~^-^ 모두들 편히 쉬세요~~~^-^",132
3,밍끼쪼,5.0,5.0,5.0,5.0,5.0,2020.06.02,와.. 이 의자 완전 도른놈... 앉아서 리뷰 쓰는 중.. 화장실 가고픈데 일어나기 싫음 ㅋㅋㅋㅋㅋㅋ 대박 세상 편하고요 조립도 짱 쉬움.. 위에 블랭킷 덮어놨더니 더 예쁘구요.. 크으 잘 쓸게요 배송도 개빠름 ㅋㅋㅋㅋㅋㅋ 이번 달에 출산하는 지인도 선물 해주려고 맘 먹음 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ🥰🥰,34
4,달빛차,5.0,5.0,5.0,5.0,5.0,2020.09.22,후기를 많이 찾아보고 키가 160정도면 플러스 제품 말고 기본을 사는 걸 추천하신 분들이 많아서 기본형으로 구매했었는데 쇼파처럼 사용하면 아주 적합한데 저는 책상이랑 같이 의자처럼 사용하고 싶었어서 머리를 더 지지해줬음 해서 플러스 제품으로 교환했어요 ! 원래 목을 받쳐주는 용도인 것 같으나 저는 머리 쪽을 받쳐주는걸로 만족하고 사용하고 있습니다 ! 몇달 편한 의자만 찾았는데 정말 편하고 조립도 쉬운 제품입니다 다만 좀 더운 재질이라 여름 지나고 산 게 신의 한수였어요! 여름에는 캠프밸리 홈페이지에 여름 전용 커버도 팔고 있으니 그거 이용할 생각입니다! 의자가 앉으면 보통 의자보다 조금 낮은 편이에요 참고하세요 !,33
5,하하핫하,5.0,5.0,5.0,5.0,5.0,2020.09.04,강아지도 폭신하게 앉는 의자예요~ 금방 잠올듯한 표정으로 있네요! 그만큼 편안하고 만족해요~ 가성비 갑인 의자네욤🥴🥴 그리고 주문하고 다음날 바로 오는 클라스.. 좋습니다🤗,32
6,호응8150,5.0,5.0,5.0,5.0,5.0,2020.03.13,아 진짜 후기 좋은 이유를 알겠어요ㅜㅜ 넘나리 폭신하게 안아줘요ㅜㅜ 다리받침 까지 잘구매한것 같아요 여름엔 쫌 더울것 같긴한데 뭐 그정도야ㅎㅎ 키 160 으로 머리쪽 쿠션 없는게 낫다고 해서 쿠션 없는걸로 샀는데 잘한것 같아여ㅋㅋ 색상 고민 하다 걍 평범한것 샀는데 포인트 되는 코발트 블루도 이쁠것 같아요~^^,23
7,멸칭,5.0,5.0,5.0,5.0,5.0,2020.06.25,아니 어제 시켰는데 오늘 오전9시에 왔어요 역대급 배송!!! 그림그리면서 편안한 의자가 필요했는데 1인쇼파는 너무 낮고 게임의자를 사자니 강아지들이 바퀴에 소변보는거 치우는것도 고통이여서 찾던 와중에 높이와 편안함을 갖춘 이제품이 보여서 고민끝에 주문했는데 책상높이(아래공간 67cm)와 딱 적당하게 맞아서 너무 마음에 들어요! 소재는 좀 더운감이 있지만 겨울에 집이 추운편이라 괜찮습니다ㅎㅎ,22
8,김172,5.0,5.0,5.0,5.0,5.0,2021.03.14,너어어무 편해요 저혼자 살 원룸에 들였는데 엄마아빠가 와서 집도 좁은데 쓸데없는걸 샀다고 삼십분동안 잔소리하다가 앉아보고 본가에도 사달라고 해서 하나 사줬어요 5평원룸에 사치일만큼 생각보다 크지만 그만큼 편해서 만족하며 쓰고있어요,18
9,목백,5.0,5.0,5.0,5.0,5.0,2021.03.09,처음 앉았을 땐 푹 들어가는 느낌은 아니라 그렇게 편한 건 아니라고 생각했어요. 근데 그상태로 한 시간쯤 앉아있으니까 알겠더라고요 너무 편해서 일어날 수 없었다는걸.. 조립은 설명서가 좀 불친절하지만 유투브 참고해서 만들면 쉽고 간단합니다. 아무튼 편해서 집에도 보내기로 했어요 좋아요,17
10,헤헤222,5.0,5.0,5.0,5.0,5.0,2020.01.20,조립 쉬워요!!!!그리고 진짜 안락해요ㅋㅋㅋㅋ폭 안기는게 정말 굿!! 골드그레이시켰는데 분명 핑크빛이 돌아서 주문했는데 그냥 그레이임...잘못온건지 진짜 이런건지 모르겠지만 그레이도 괜찮아서 그냥 사용할려고요!!!,16
11,Frisia39,5.0,5.0,5.0,5.0,5.0,2019.12.15,단점이 하나있다면.. 너무 편해서 책을 읽을수도 무엇을 할수도없이 잠이듭니다 ㅋㅋ 최고예요,16
