,user_name,total_star,durability_star,price_star,design_star,delievery_star,date,review,help
0,절정미남,5.0,5.0,5.0,5.0,5.0,2020.09.15,"개레전드급 품질과 가성비와 견고함, 개지리는 build quality, 하루키 식으로 표현하면 '일찍이 이런 훌륭한 의자가 생산되던 시절이 있었던 것이다.'",6
1,HyeyoungLee2,5.0,5.0,5.0,5.0,5.0,2020.09.10,조립은 10분만에 했고 고급스러운 질감과 색깔이에요~ 배송도 빨라서 만족스러운데 완전히 젖혀지는것은 아니라 참고하세요~ 사진에 있는게 다 젖힌거예요 ㅎㅎ,5
2,berrylover,5.0,5.0,5.0,5.0,5.0,2020.06.07,방분위기 살리고 세상편하네요. 그리고 배송도빠르고 여자혼자서 조립하기도 쉬웠어요,3
3,쭈77,5.0,5.0,5.0,5.0,5.0,2019.08.30,잘 사용하고 있습니다 편하고 쿠션감도 좋아요,3
4,맑은마음5,5.0,5.0,5.0,5.0,5.0,2021.03.30,배송 빠릅니다. 조립도 쉽고 만족합니다. 가로폭이 좁은...,1
5,W0WGH,5.0,5.0,5.0,5.0,5.0,2021.02.04,나사가 좀 안들어 가는 거 빼곤 너무 맘에들어오,1
6,Lovegrit1988,5.0,5.0,5.0,5.0,5.0,2021.01.27,갑자기 의자가 필요해서 구입했는데ㅡ 생각보다 안전성있고 겉표면 재질도 부드러워서 만족합니다 ♡,1
7,kimbari,5.0,5.0,5.0,5.0,5.0,2020.11.15,쿠션좋고 등이랑 목부분 조절 가능합니다. 스툴도 같이 있어서 앉아있기 너무 편해요 . 부모님이 좋아하시네요,1
8,이재환안젤라,5.0,5.0,5.0,5.0,5.0,2020.10.31,리클라이너 기능이 있어 안방에서 TV 볼 때 아주 편안하고 유용하게 써질 듯하네요. 흰색 가구에 포인트가 되는 짙은 갈색도 제법 고급스럽습니다. 가격 대비 훌륭해 온 가족이 돌아가면 휴식하는 공간이 되었습니다.,1
9,相龍,5.0,5.0,5.0,5.0,5.0,2019.08.17,정말 빨리 주시네요 ㄷㄷ 잘 쓰겠습니다 사진과 똑같음|,1
10,최지논,5.0,5.0,5.0,5.0,5.0,2021.07.13,아직 인싸봤지만 기대하면서 샀어요 편하고 좋을거같아요,0
11,김마루누님,5.0,5.0,5.0,5.0,5.0,2021.06.27,배송도 너무 빠르고 좋았습니다 편하고 좋네요 살짝 회장님 의자같은 느낌이 없지않아 있지만 레트로라고 생각하고 씁니다ㅋㅋㅋㅋㅋㅋㅋ 가성비 좋은 것 같아요,0
12,킁킁쬠쬠,5.0,5.0,5.0,5.0,5.0,2021.01.15,조립도 쉽고 너무 편안해요 허리에 쿠션하나 대고 사용하면 더 편할 것 같아요,0
13,숲숙,5.0,5.0,5.0,5.0,5.0,2020.12.25,매우 만족합니다. 편안하고 디자인도 좋습니다.,0
14,박선희320,5.0,5.0,5.0,5.0,5.0,2020.12.17,아빠가 좋아하시네요~~조립하는것도 어렵지도 않고 좋았어요~,0
15,火映神堂98,5.0,5.0,5.0,5.0,5.0,2020.12.15,배송도 빠르고 구성도 좋구 조림도 간단하고 등바지도 원하는 대로 눕힐수도 세울수도 있고 편안함은 두말 할 필요 없네요^^ 대박 나세요^^,0
16,밍구탱이,5.0,5.0,5.0,5.0,5.0,2020.12.11,이번에 부모님댁이 리모델링 끝나고 저런 의자하나 있으면 좋겠다고 하셔서 선물로 보내드렸는데 너무 맘에 드신다네요. 똥손인 우리 아빠도 저렇게 조립하신 걸 보면 조립은 완전 간단한듯해요.ㅋ 그리고 의자가 너무 편하다고 맘에 쏙 들어하셔서 저도 기분이 좋네요. 조만간 부모님댁에 가서 저도 한번 앉아보고 편안함을 느껴야 겠어요~,0
17,renjinji,5.0,5.0,5.0,5.0,5.0,2020.12.06,허리부분은 쿠션 놓으면 장시간 앉았을경우 더 편한것 같습니다.,0
18,woodinee,5.0,5.0,5.0,5.0,5.0,2020.11.18,부모님이 조립하셨는데 간단하고 너무 편해서 만족하시네요👍,0
19,교원)강현주♡,5.0,5.0,5.0,5.0,5.0,2020.09.15,일단 너~~무 고급지구요 저희딸이 넘넘 좋아해요 울집 반려견들도 넘넘 좋아하는것같아 제 선택에 행복을 느낍니다 이 가격에 이런 휼륭한 제품 고민할필요가 잇나요~~^^전 재구매 하려구 해요 사장님~~코로나로 힘든 저에게 이런 행복을 주셔서 정말 감사드립니다 대박나세요~^^,0
20,sc zaa,5.0,5.0,5.0,5.0,5.0,2020.09.12,엄마가 쓰시는데 너무 편안해하세요 색깔도 집 인테리어에 맞게 갈색으로 샀는데 안 질리고 오래 쓸 것 같아요,0
21,수린님,5.0,5.0,5.0,5.0,5.0,2020.09.08,배송도 빠르고 너무 편하고 좋아요 집 오면 여기에만 있는거 같아요 짱짱!,0
22,skrkrhwlql,5.0,5.0,5.0,5.0,5.0,2020.09.03,일단 배송 정말 빠르구요 천고가 낮은 다락방에서도 편히 쉴수있을만큼 사이즈 완벽하구요 무게또한 가볍지만 철재다리덕분에 튼튼하게 지탱이 되네요 정말 가성비 짱입니다~ 좋은 상품 감사드리고 사업 쭈~ 욱 번창하세요~,0
23,hhhhhhh11111,5.0,5.0,5.0,5.0,5.0,2020.08.31,편안하고 좋습니다. 인테리어적으로도 좋아요😄,0
24,kkojuahng,5.0,5.0,5.0,5.0,5.0,2020.08.29,"오와!! 생각보다 엄청 편하고 조립도 넘넘 쉬워요!! 제주도인데도 배송도 빠르고 편해서 징짜 넘넘 좋아요. 소파 눕눕생활을 탈출하려고 주문했는데, 대만족입니다👍👍👍 번창하세요😄😄😄😄😄",0
25,jangmh86,5.0,5.0,5.0,5.0,5.0,2020.08.13,서재에 하나두고 사용하다 너므 좋아 하나 더 구매하여 셋트로 사용중입니다!! 집에 오는 사람들이 다 탐내요 ㅎ,0
26,구라닭,5.0,5.0,5.0,5.0,5.0,2020.06.21,배송이 하루만에 왔네요. 설레는 마음으로 조립하고 자리정하고 앉았더니 너무 좋으네요. 리뷰도 편안한 쇼파야 안자서 작성하고 있답니다~,0
27,stone401,5.0,5.0,5.0,5.0,5.0,2020.02.13,가성비 갑입니다. 이 가격에 편안함까지~ 좋아요!,0
28,야이씨ㅡㅡ,4.8,5.0,5.0,4.0,4.0,2020.12.18,전체적인 완성도가 높은 제품입니다 철강산업에서 근무하는 28세 직장인입니다 하중을 버티게하기 위해서 스틸을 쓰셧네요 용접면이 아주깔끔합니다 사람 몸무게로는 절대로 안부숴질듯합니다 도장도 아주 깔끔하구요 프레임이 이렇게 버티어준다면 분명 좋은의자입니다 다만. 1.사용자의 체형을 고려하여 의자의 너비를 좀 늘려야할듯합니다 전 182에 90kg 입니다 조금 작네요 2. 의자의 손잡이부분을 앉을시 더 높게 만드는게 좋겠네요 키가 좀 있는사람은 팔걸이가 의미가 없습니다,5
29,상우168,4.8,4.0,5.0,5.0,5.0,2021.03.06,"- 무게 가벼움, 쿠션 푹신푹신 - 각도조절 레버가 없어서 조절하는 데 조금 신경써야함 - 풋스툴 포함한 합리적인 가격 - 체구 작으신 분들께는 의지 높낮이와 크기, 팔걸이 위치가 딱 적당하고 좋습니다!",1
30,ひらやま,4.8,5.0,5.0,5.0,5.0,2021.03.20,정말 편하고 좋습니다. TV보다가 꿀잠 잤습니다.,0
31,조이씨,4.8,5.0,5.0,4.0,4.0,2020.11.10,최고최고!! 이전에 좌식소파도 구매한적 있는데요!! 이번에 이 디자인보고 바로 구매했어요 제주도는 배송불가인 제품들 많은데 제주 배송도 되는 점 제일 좋았고!! 디자인 내구성 다 마음에 드네요^^ 조립도 정말 간단하고 좋았어요!,0
32,슬로우댄스,4.5,4.0,5.0,4.0,4.0,2020.04.10,배송도 빨랐고 제품도 생각보다 조립이 간단하고 직관적이어서 손쉽게 완성했습니다. 인조가죽이지만 색감도 촉감도 좋은편입니다. 리클라이닝 기능은 음..적당한 편입니다. 엄마도 아주 만족하시네요 ^^ 퇴근후 깨끗히 씻고 맥주한잔과 함께 다리 쭉뻗고 하이에나 시청하는데...아주 Good입니다 ^^b,1
