,user_name,total_star,durability_star,price_star,design_star,delivery_star,date,review,help,sentiment
0,꿀름,5.0,5.0,5.0,5.0,5.0,2020.09.11,우선 배송 빠르고 이케아에서 같은구성으로 본 포엥보다 반값 저렴함 7시에 조립을 시작해서 세팅까지 딱 25분걸림(둘이서) 처음에 조립할때 나사? 볼트? 가 크기별로 있으니 구분 잘해놓고 시작하길...3가지 종류 있는데 설명서가 거의 이케아급이라서 구분 잘해놓고 시작해야함..그렇ㅈ 않으면 본인처럼 다시 분리해서 긴 나사를 찾는 참사를 당할수도 있음 그래서 25분걸림 ㅠ 그거 아니면 솔직히 한 15분정도에 가능할듯 쿠션감 좋고 나무 튼튼해보이지만 볼트 잘못조이는 순간 살짝 균열감ㅋㅋㅋㅋ(근ㄷ 그건 이케아도 마찬가지임) 인터넷에서 시킨 가구중에 만족도 1위임,2,1
1,원네이션,5.0,5.0,5.0,5.0,5.0,2021.08.06,디자인 심플하니 흔들흔들 편안하네요ㅋㅋ,1,1
2,예스파,5.0,5.0,5.0,5.0,5.0,2021.08.04,"딸이랑 남편이랑 둘이서 조립하는 데 40분 정도 걸렸어요. 둘이 하면 좀 낫고 혼자는 어려울 듯. 분위기도 좋고 편하고 안락해요. 여름이라 시어서커 패드 하나 깔았고요, 이쁘기야 안까는 게 좋겠죠. 새거 냄새가 나서 섬유향수 뿌려서 한나절 땡볕에 시트 말렸어요",1,1
3,무한행복,5.0,5.0,5.0,5.0,5.0,2021.05.25,책읽고 티비 볼때 아주 편안할 것 같아요~ 설명서 없이 혼자 조립 20분 걸렸어요. (전동드라이버 사용)^^; 가격도 좋고~ 잘 쓰겠습니다!,1,1
4,kkkyeajin,5.0,5.0,5.0,5.0,5.0,2021.03.18,사진이랑 똑같아요~ 가성비 정말 좋은 상품입니다! 혼자 조립할 수 있는 난이도에요!,1,1
5,M_z,5.0,5.0,5.0,5.0,5.0,2020.10.20,조립하는게 조금 어려워요. 혼자 하기엔 힘듭니다! 그래도 이쁘고 튼튼하규 완전 편해요,1,1
6,h2r2,5.0,5.0,5.0,5.0,5.0,2020.08.24,저렴한 가격에 구입해서 기대는 안했는데 정말 가격대비 좋은 상품인듯합니다.,1,1
7,해나정,5.0,5.0,5.0,5.0,5.0,2020.07.22,여자 혼자 조립할수도 있고 편하고 좋아요!,1,1
8,minim95,5.0,5.0,5.0,5.0,5.0,2020.06.26,일단 진짜 너무편하고 좋아요!! 책읽을때 편안하게 쉬고싶은 의자를 찾던중에 가격도 너무 착하고 해서 주문했는데 진짜 사길 잘한것같아요!!! 조립은 여자혼자 조립하는데 발받침까지 총 1시간 정도 걸린것같구요 설명서 보고 차근차근 조립하면 혼자서도 충분히 조립할수 있을것같아요! 진짜 너무 만족입니다!!,1,1
9,음파은,5.0,5.0,5.0,5.0,5.0,2020.04.28,커버를 벗기고 다시 씌우는게 어려웠지만 정말 마음에 쏙들어요 엄청편하구요~^^ 아빠 냥이들 아기까지 다 서로 앉으려고 난리에요~,1,1
10,송마담98,5.0,5.0,5.0,5.0,5.0,2020.04.11,편하고 정말 좋아요 조립하기도 쉽구요 가족들 서로 앉으려고 해서 하나 더 구입합니다. 고양이가 젤 좋아해용ㅋ,1,1
11,새댁20,5.0,5.0,5.0,5.0,5.0,2020.03.04,남편이 흔들의자 사달라고 노래를 불러서 샀는데 너무 잘쓰고 있구 좋아요ㅎ,1,1
12,김아름341,5.0,5.0,5.0,5.0,5.0,2021.08.24,남자친구가 흔들의자 갖고싶어해서 찾아보던 중에 발견했는데 리뷰도 좋길래 구매했어요! 서프라이즈로 해주려고 혼자 조립했는데 좀 힘들었지만 1시간 걸렸어요!!!,0,1
13,착2,5.0,5.0,5.0,5.0,5.0,2021.08.24,강아지 애착 의자 입니다 가격도 좋고 편해요,0,1
14,박ㅅㅎ84,5.0,5.0,5.0,5.0,5.0,2021.08.20,처음엔 힘들었는데 두개째 조립하니 쉽게 했어요 앉아있는데 편안하고 좋네요 운치를 느끼기에 딱 좋습니다,0,1
15,ㅎㅈ5541,5.0,5.0,5.0,5.0,5.0,2021.08.17,너어어아무 편해요 공간차지는 하지만 편함이 대박이라 포기못해요,0,1
16,떴다둘리,5.0,5.0,5.0,5.0,5.0,2021.08.14,가성비 좋은 상품입니다. 생각보다 괜찮아요,0,1
17,jhilove4,5.0,5.0,5.0,5.0,5.0,2021.08.12,생각했던 것 보다 많이 커요 방 안에 설치하실 분들은 방 안에서 바로 조립하거나 문에 들어갈 수 있는 크기인지 확인하시고 조립하세요 방문에 안들어가서 일부 조립풀고 다시했네요ㅠ 설명서가 왕허접하긴하지만 그래도 어느정도 할만했고 혼자보단 둘이 편해요 좀 잡아주면 더 빨리 설치 가능할 것 같네요 책 보기에도 티비보기에도 낮잠자기에도 좋을 것 같아요 만족스럽습니닷,0,1
18,혜린383,5.0,5.0,5.0,5.0,5.0,2021.08.12,때 탈까봐 패브릭 덮어서 사용하고 있어요 의자는 진짜 편해요 자꾸 앉게 되네용,0,1
19,망고냐,5.0,5.0,5.0,5.0,5.0,2021.08.10,조립하기 쉽고 편해요 ㅋㅋ 가성비 좋네요 아주 만족스럽습니다,0,1
20,쑨99,5.0,5.0,5.0,5.0,5.0,2021.08.09,너무너무편해요 사길잘한거같아요 그런데 쿠션이 스펀지라 금방 꺼질수도 있을것 같아요 그래도 가성비 만점 추천해요!,0,1
21,벅스박스,5.0,5.0,5.0,5.0,5.0,2021.08.07,조립하는데 생각보다 난이도가 있었지만 튼튼하고 디자인이 좋아서 잘 사용하고 있습니다ㅎㅎ,0,1
22,fnskzl,5.0,5.0,5.0,5.0,5.0,2021.08.06,저희집 냥이님께서 너무 좋아해요ㅎㅎ 사실 저쓰는거보다 냥이 밖에 볼때 올라가라고 산게 커서🤣 만족스럽습니다!,0,1
23,우야87,5.0,5.0,5.0,5.0,5.0,2021.08.06,흔들흔들하는게 쿠션감이 너무 편하네요,0,1
24,Gabi_P,5.0,5.0,5.0,5.0,5.0,2021.08.04,앉아서 왓챠 보다가 잠들 때가 많은데 너무 편합니다,0,1
25,스텐다드백,5.0,5.0,5.0,5.0,5.0,2021.07.29,상품이 괜찬아요 원룸에서 편하게 쓰기좋습니다 다만 배송은 실앙 좋은물건입니다,0,1
26,루피오1210,5.0,5.0,5.0,5.0,5.0,2021.07.21,울집강쥐가 더좋아하네요 앉아서 티비보기도 편하고 울딸은 가끔 낮잠두 자고 좋아요,0,1
27,박까니,5.0,5.0,5.0,5.0,5.0,2021.06.26,생각보다 조립이 쉬웠어요! 앉아있으니까 멍때리기 좋네여 ㅎㅎ,0,1
28,하자맘,5.0,5.0,5.0,5.0,5.0,2021.06.21,앉아있으면 편안해서 일어나기 싫어져요~~~ 콤팩 사이즈라 공간차지하지않아 좋아요~,0,1
29,tttyyyppp♥,5.0,5.0,5.0,5.0,5.0,2021.06.19,깔끔하고 너무 편해요... 최저가로 잘 산 것 같아요,0,1
30,동진36,5.0,5.0,5.0,5.0,5.0,2021.06.18,튼튼하고 좋아요 잘쓰고있어요 많이 파세요,0,1
31,엄연주3,5.0,5.0,5.0,5.0,5.0,2021.06.12,넘 이뻐요 👍🏻👍🏻흔들흔들의자에 앉아서 책읽으니 너무 좋더라구요 ㅎㅎㅎ,0,1
32,정리아짱,5.0,5.0,5.0,5.0,5.0,2021.06.04,가격 착하고 튼실하네요! 감사합니당^^,0,1
33,길위의50대,5.0,5.0,5.0,5.0,5.0,2021.05.26,사이즈도 크고 아주 맘에 들어요 튼튼해요,0,1
34,환원맘,5.0,5.0,5.0,5.0,5.0,2021.05.02,설명서보고 조립하기 편안했어요. 허리무리가는거 전혀없이 편해요,0,1
35,손주병법,5.0,5.0,5.0,5.0,5.0,2021.04.28,생각보다 크기가 크네요! 조립도 어렵지 않고 편합니다 ㅎㅎ,0,1
36,지은무ㅇ,5.0,5.0,5.0,5.0,5.0,2021.04.24,가격대비 편하고 좋아요! 편해서 자꾸 눕고 싶어지네요. 스펀지랑 커버가 분리가 안되는게 아쉽긴해요ㅠㅠ,0,1
37,박시연132,5.0,5.0,5.0,5.0,5.0,2021.04.18,조립 둘이서 하면 진짜 금방 합니다! 가성비로는 끝판왕일듯해요!!,0,1
38,히댁,5.0,5.0,5.0,5.0,5.0,2021.03.19,너무 예쁘고 좋아요 굿굿 👍🏻 편하고 아주좋아요 ㅋㅋㅋ 남편도 대만족스 배송이 따로와서 질문남겼는데 친절하게 답해주셔서 감사합니다 사진은 지우고 두개찍은걸로 다시올리고싶은데 사진삭제가안되서 안타깝..ㅠㅠ 예쁘고 좋아요,0,1
39,왕딩2,5.0,5.0,5.0,5.0,5.0,2021.02.19,자꾸만 앉아있고 싶네요 ㅎ 조립은 마지막 단계에서 힘이 좀 들어가는거 빼곤 쉬워용,0,1
40,나초랭이,5.0,5.0,5.0,5.0,5.0,2021.02.14,편하게잘쓰거있어요...........,0,1
41,민성이6,5.0,5.0,5.0,5.0,5.0,2020.11.22,만들기 어렵지도않고 편해요 천에 먼지가 잘묻네요 잘떨어지지않고,0,1
42,바론하온,5.0,5.0,5.0,5.0,5.0,2020.11.07,튼튼하고 앉으면 편해요~ 아들이 좋아하네요~,0,1
43,진또진빠ㅇ,5.0,5.0,5.0,5.0,5.0,2020.11.05,가격에 비해 너무 좋아요 거기다 튼튼하기 까지해요 높이도 너무 낮지않고 적당히 높아서 적당해요 아버지께 선물드렸는데 너무 좋아하세요,0,1
44,효정254,5.0,5.0,5.0,5.0,5.0,2020.10.29,너무편해요 강쥐랑 매일누워서 같이잠든답니다,0,1
45,raphaella,5.0,5.0,5.0,5.0,5.0,2020.10.28,조립 1시간 걸렸고 앉아보니 너무 편하고 좋네요 뜨개질 할때 앉을 의자 필요해서 구입했는데 너무 좋아요,0,1
46,목개리,5.0,5.0,5.0,5.0,5.0,2020.10.27,안자 보면정말 편해요 배송두 빨르구요,0,1
47,비앙3,5.0,5.0,5.0,5.0,5.0,2020.10.24,이쁘고 조립도 쉽고 편하고 세트로 꼭 구매하세요 단품으로 구매하면 메리트가 없는 상품 인거같아요,0,1
48,Bible.Kim💫72,5.0,5.0,5.0,5.0,5.0,2020.10.13,완전 예쁘고 느낌좋아요. 편하게 앉아서 책보기 딱입니다,0,1
49,sogogi007,5.0,5.0,5.0,5.0,5.0,2020.09.16,서재에서 독서나 음악감상용으로 샀습니다 조립도 쉽고 튼튼하구요 다만 커버에 솜을 분리하고 합체하기가 좀 힘든 위치에 지퍼가 달려있네요 지금도 이 의자에 앉아 리뷰를 작성하고있습니다 이놈은 와이프가 허락한 유일한 마약이라 할 수 있습니다 절대 절대로 퇴근하고 들어와서 바로 앉는다거나 뭔가 할 일이 남아있는 상태로 앉지마세요 나도모르게 아무 생각 없이 끄덕거리고 있는 자신을 발견하게 될게야,0,1
